"","participant","rt","accuracy","item","task","control","AgeGroup","rawrt","condition"
"335",7,8.1375127822818,1,"chair","Size","incon","Younger",3420.4,"7incon"
"336",7,8.643385216654,1,"box","Size","incon","Younger",5672.5,"7incon"
"337",8,7.23482631966229,1,"ham","Colour","cong","Younger",1386.9,"8cong"
"338",8,7.5399309025506,1,"blood","Colour","cong","Younger",1881.7,"8cong"
"339",8,7.98945874924733,1,"broccoli","Colour","cong","Younger",2949.7,"8cong"
"340",8,7.8121758382858,1,"hammer","Size","cong","Younger",2470.5,"8cong"
"341",8,7.50955442008278,1,"orange","Size","cong","Younger",1825.4,"8cong"
"342",8,8.06589354696427,1,"mouth","Size","cong","Younger",3184,"8cong"
"343",8,7.88529161629307,1,"coffee","Colour","cong","Younger",2657.9,"8cong"
"344",8,8.14183042712452,1,"ketchup","Colour","cong","Younger",3435.2,"8cong"
"345",8,7.41209994664844,1,"rhino","Colour","cong","Younger",1655.9,"8cong"
"346",8,7.1142001806733,1,"wasp","Size","cong","Younger",1229.3,"8cong"
"347",8,7.72351824308227,1,"goose","Size","cong","Younger",2260.9,"8cong"
"348",8,7.21773685892868,1,"donkey","Size","cong","Younger",1363.4,"8cong"
"349",8,7.83256958179717,1,"sunflower","Colour","cong","Younger",2521.4,"8cong"
"350",8,8.43289812192084,1,"gin","Colour","cong","Younger",4595.8,"8cong"
"351",8,8.5717192547708,1,"grass","Colour","cong","Younger",5280.2,"8cong"
"352",8,8.22924441673591,1,"window","Size","cong","Younger",3749,"8cong"
"353",8,7.54438501670691,1,"pen","Size","cong","Younger",1890.1,"8cong"
"354",8,7.59945140727477,1,"mop","Size","cong","Younger",1997.1,"8cong"
"355",8,7.88837200941254,1,"snow","Colour","cong","Younger",2666.1,"8cong"
"356",8,8.0861948675098,1,"butter","Colour","cong","Younger",3249.3,"8cong"
"357",8,7.61045667234689,1,"oregano","Colour","cong","Younger",2019.2,"8cong"
"358",8,8.34969719094084,1,"fork","Size","cong","Younger",4228.9,"8cong"
"359",8,8.06397588027056,1,"doctor","Size","cong","Younger",3177.9,"8cong"
"360",8,8.14148104145742,1,"dancer","Size","cong","Younger",3434,"8cong"
"361",8,8.015822726421,1,"rice","Colour","incon","Younger",3028.5,"8incon"
"362",8,7.59759700253336,1,"tar","Colour","incon","Younger",1993.4,"8incon"
"363",8,7.91289902432529,1,"trumpet","Colour","incon","Younger",2732.3,"8incon"
"365",8,7.72757916236859,1,"gun","Size","incon","Younger",2270.1,"8incon"
"366",8,7.7344713514635,1,"football","Size","incon","Younger",2285.8,"8incon"
"367",8,7.85500189497674,1,"cranberry","Colour","incon","Younger",2578.6,"8incon"
"368",8,7.49131078291199,1,"cloud","Colour","incon","Younger",1792.4,"8incon"
"369",8,7.69934409485411,1,"chalk","Colour","incon","Younger",2206.9,"8incon"
"370",8,7.65007350354853,1,"handbag","Size","incon","Younger",2100.8,"8incon"
"371",8,7.71351660391122,1,"cup","Size","incon","Younger",2238.4,"8incon"
"372",8,7.75884593760804,1,"tribe","Size","incon","Younger",2342.2,"8incon"
"373",8,8.11324692927734,1,"highlighter","Colour","incon","Younger",3338.4,"8incon"
"374",8,8.40786927630149,1,"paper","Colour","incon","Younger",4482.2,"8incon"
"376",8,8.11132800328673,1,"pencil","Size","incon","Younger",3332,"8incon"
"377",8,7.9184102888911,1,"theatre","Size","incon","Younger",2747.4,"8incon"
"378",8,8.38617292897783,1,"lighter","Size","incon","Younger",4386,"8incon"
"379",8,7.93336667476576,1,"blackboard","Colour","incon","Younger",2788.8,"8incon"
"380",8,7.61040714655633,1,"bread","Colour","incon","Younger",2019.1,"8incon"
"381",8,8.33923808777548,1,"dove","Colour","incon","Younger",4184.9,"8incon"
"383",8,7.98670892998706,1,"chair","Size","incon","Younger",2941.6,"8incon"
"384",8,8.5302870909274,1,"box","Size","incon","Younger",5065.9,"8incon"
"385",9,7.35058039584738,1,"ham","Colour","cong","Younger",1557.1,"9cong"
"386",9,7.43100342274669,1,"blood","Colour","cong","Younger",1687.5,"9cong"
"387",9,7.35978585623762,1,"broccoli","Colour","cong","Younger",1571.5,"9cong"
"388",9,7.49803882408284,1,"hammer","Size","cong","Younger",1804.5,"9cong"
"389",9,7.43147738448315,1,"orange","Size","cong","Younger",1688.3,"9cong"
"390",9,7.31634882176483,1,"mouth","Size","cong","Younger",1504.7,"9cong"
