participant,Item,Rule,Response,Trial,TrialType,accuracy,rt,Agegroup,Context,accuracy01
3,soap,ACTION,wash,32,SingleNaming,0,X,Younger,Single,0
5,soap,ACTION,wash,32,SingleNaming,0,X,Younger,Single,0
15,newspaper,OBJECT,newspaper,32,SingleNaming,0,X,Younger,Single,0
29,soap,ACTION,wash,32,SingleNaming,0,X,Older,Single,0
34,soap,ACTION,wash,32,SingleNaming,0,X,Older,Single,0
5,cup,ACTION,drink,33,nonswitch,0,X,Younger,Dual,0
89,cup,ACTION,drink,33,nonswitch,0,X,Younger,Dual,0
15,plane,ACTION,fly,33,SingleNaming,0,X,Younger,Single,0
91,plane,ACTION,fly,33,SingleNaming,0,X,Older,Single,0
5,suitcase,OBJECT,suitcase,34,switch,0,X,Younger,Dual,0
12,suitcase,OBJECT,suitcase,34,switch,0,X,Younger,Dual,0
30,suitcase,OBJECT,suitcase,34,switch,0,X,Older,Dual,0
53,suitcase,ACTION,pack,34,switch,0,X,Younger,Dual,0
89,suitcase,OBJECT,suitcase,34,switch,0,X,Younger,Dual,0
18,cake,ACTION,bake,34,SingleNaming,0,X,Younger,Single,0
53,cake,ACTION,bake,34,SingleNaming,0,X,Younger,Single,0
58,cake,ACTION,bake,34,SingleNaming,0,X,Younger,Single,0
82,cake,ACTION,bake,34,SingleNaming,0,X,Younger,Single,0
3,soap,ACTION,wash,35,switch,0,X,Younger,Dual,0
29,soap,ACTION,wash,35,switch,0,X,Older,Dual,0
34,soap,ACTION,wash,35,switch,0,X,Older,Dual,0
53,soap,OBJECT,soap,35,switch,0,X,Younger,Dual,0
84,candle,ACTION,light,35,SingleNaming,0,X,Older,Single,0
96,candle,ACTION,light,35,SingleNaming,0,X,Older,Single,0
5,present,OBJECT,present,36,switch,0,X,Younger,Dual,0
12,present,OBJECT,present,36,switch,0,X,Younger,Dual,0
12,toy,OBJECT,toy,36,SingleNaming,0,X,Younger,Single,0
15,broom,ACTION,sweep,36,SingleNaming,0,X,Younger,Single,0
16,toy,OBJECT,toy,36,SingleNaming,0,X,Younger,Single,0
54,ladder,ACTION,climb,36,SingleNaming,0,X,Older,Single,0
91,broom,ACTION,sweep,36,SingleNaming,0,X,Older,Single,0
5,strawberry,OBJECT,strawberry,37,nonswitch,0,X,Younger,Dual,0
54,strawberry,OBJECT,strawberry,37,nonswitch,0,X,Older,Dual,0
68,strawberry,OBJECT,strawberry,37,nonswitch,0,X,Younger,Dual,0
53,soap,ACTION,wash,37,SingleNaming,0,X,Younger,Single,0
91,soap,ACTION,wash,37,SingleNaming,0,X,Older,Single,0
16,eye,OBJECT,eye,38,SingleNaming,0,X,Younger,Single,0
91,newspaper,ACTION,read,38,SingleNaming,0,X,Older,Single,0
5,broom,ACTION,sweep,39,nonswitch,0,X,Younger,Dual,0
15,horse,ACTION,ride,39,nonswitch,0,X,Younger,Dual,0
48,horse,ACTION,ride,39,nonswitch,0,X,Older,Dual,0
91,horse,ACTION,ride,39,nonswitch,0,X,Older,Dual,0
5,soap,OBJECT,soap,39,SingleNaming,0,X,Younger,Single,0
11,present,ACTION,give,39,SingleNaming,0,X,Younger,Single,0
29,soap,OBJECT,soap,39,SingleNaming,0,X,Older,Single,0
34,trophy,ACTION,win,39,SingleNaming,0,X,Older,Single,0
34,soap,OBJECT,soap,39,SingleNaming,0,X,Older,Single,0
53,soap,OBJECT,soap,39,SingleNaming,0,X,Younger,Single,0
53,present,ACTION,give,39,SingleNaming,0,X,Younger,Single,0
83,trophy,ACTION,win,39,SingleNaming,0,X,Older,Single,0
86,knife,ACTION,cut,40,nonswitch,0,X,Older,Dual,0
12,toy,ACTION,play,40,SingleNaming,0,X,Younger,Single,0
20,broom,OBJECT,broom,40,SingleNaming,0,X,Younger,Single,0
25,trophy,ACTION,win,40,SingleNaming,0,X,Older,Single,0
46,broom,OBJECT,broom,40,SingleNaming,0,X,Older,Single,0
54,toy,ACTION,play,40,SingleNaming,0,X,Older,Single,0
81,trophy,ACTION,win,40,SingleNaming,0,X,Older,Single,0
83,toy,ACTION,play,40,SingleNaming,0,X,Older,Single,0
84,trophy,ACTION,win,40,SingleNaming,0,X,Older,Single,0
3,horse,ACTION,ride,41,X,0,X,Younger,Dual,0
4,horse,ACTION,ride,41,X,0,X,Younger,Dual,0
14,cake,OBJECT,cake,41,X,0,X,Younger,Dual,0
36,horse,ACTION,ride,41,X,0,X,Older,Dual,0
48,cake,OBJECT,cake,41,X,0,X,Older,Dual,0
49,horse,ACTION,ride,41,X,0,X,Older,Dual,0
62,horse,ACTION,ride,41,X,0,X,Older,Dual,0
69,cake,OBJECT,cake,41,X,0,X,Older,Dual,0
95,cake,OBJECT,cake,41,X,0,X,Older,Dual,0
34,suitcase,ACTION,pack,42,nonswitch,0,X,Older,Dual,0
54,suitcase,ACTION,pack,42,nonswitch,0,X,Older,Dual,0
78,suitcase,ACTION,pack,42,nonswitch,0,X,Older,Dual,0
5,cup,OBJECT,cup,43,switch,0,X,Younger,Dual,0
20,horse,ACTION,ride,43,switch,0,X,Younger,Dual,0
89,cup,OBJECT,cup,43,switch,0,X,Younger,Dual,0
3,newspaper,OBJECT,newspaper,44,nonswitch,0,X,Younger,Dual,0
5,newspaper,OBJECT,newspaper,44,nonswitch,0,X,Younger,Dual,0
50,plane,OBJECT,plane,44,switch,0,X,Older,Dual,0
78,newspaper,OBJECT,newspaper,44,nonswitch,0,X,Older,Dual,0
3,coat,OBJECT,coat,45,nonswitch,0,X,Younger,Dual,0
14,eye,OBJECT,eye,45,nonswitch,0,X,Younger,Dual,0
5,cake,OBJECT,cake,46,nonswitch,0,X,Younger,Dual,0
14,pen,OBJECT,pen,46,nonswitch,0,X,Younger,Dual,0
20,pen,OBJECT,pen,46,nonswitch,0,X,Younger,Dual,0
5,candle,ACTION,light,47,switch,0,X,Younger,Dual,0
53,soap,ACTION,wash,47,switch,0,X,Younger,Dual,0
5,coat,ACTION,wear,48,nonswitch,0,X,Younger,Dual,0
13,coat,ACTION,wear,48,nonswitch,0,X,Younger,Dual,0
28,candle,ACTION,light,48,nonswitch,0,X,Older,Dual,0
95,candle,ACTION,light,48,nonswitch,0,X,Older,Dual,0
3,present,ACTION,give,49,nonswitch,0,X,Younger,Dual,0
5,present,ACTION,give,49,nonswitch,0,X,Younger,Dual,0
34,present,ACTION,give,49,nonswitch,0,X,Older,Dual,0
89,present,ACTION,give,49,nonswitch,0,X,Younger,Dual,0
54,eye,OBJECT,eye,50,switch,0,X,Older,Dual,0
98,eye,OBJECT,eye,50,switch,0,X,Older,Dual,0
15,trophy,ACTION,win,51,nonswitch,0,X,Younger,Dual,0
20,trophy,ACTION,win,51,nonswitch,0,X,Younger,Dual,0
25,trophy,ACTION,win,51,nonswitch,0,X,Older,Dual,0
37,trophy,ACTION,win,51,nonswitch,0,X,Older,Dual,0
50,trophy,ACTION,win,51,nonswitch,0,X,Older,Dual,0
98,plane,OBJECT,plane,51,nonswitch,0,X,Older,Dual,0
24,strawberry,OBJECT,strawberry,52,switch,0,X,Younger,Dual,0
25,strawberry,OBJECT,strawberry,52,switch,0,X,Older,Dual,0
78,newspaper,OBJECT,newspaper,53,switch,0,X,Older,Dual,0
95,plane,OBJECT,plane,53,nonswitch,0,X,Older,Dual,0
5,soap,OBJECT,soap,54,nonswitch,0,X,Younger,Dual,0
29,soap,OBJECT,soap,54,nonswitch,0,X,Older,Dual,0
34,soap,OBJECT,soap,54,nonswitch,0,X,Older,Dual,0
95,newspaper,OBJECT,newspaper,54,nonswitch,0,X,Older,Dual,0
14,candle,ACTION,light,55,switch,0,X,Younger,Dual,0
54,coat,ACTION,wear,55,switch,0,X,Older,Dual,0
67,coat,ACTION,wear,55,switch,0,X,Younger,Dual,0
95,candle,ACTION,light,55,switch,0,X,Older,Dual,0
95,strawberry,ACTION,eat,56,nonswitch,0,X,Older,Dual,0
5,strawberry,ACTION,eat,57,nonswitch,0,X,Younger,Dual,0
52,present,OBJECT,present,57,switch,0,X,Older,Dual,0
95,present,OBJECT,present,57,switch,0,X,Older,Dual,0
5,knife,OBJECT,knife,58,switch,0,X,Younger,Dual,0
54,knife,OBJECT,knife,58,switch,0,X,Older,Dual,0
95,plane,ACTION,fly,58,switch,0,X,Older,Dual,0
2,brain,OBJECT,brain,59,switch,0,X,Younger,Dual,0
5,trophy,ACTION,win,59,switch,0,X,Younger,Dual,0
34,trophy,ACTION,win,59,switch,0,X,Older,Dual,0
46,brain,OBJECT,brain,59,switch,0,X,Older,Dual,0
95,brain,OBJECT,brain,59,switch,0,X,Older,Dual,0
14,ladder,OBJECT,ladder,60,nonswitch,0,X,Younger,Dual,0
84,ladder,OBJECT,ladder,60,nonswitch,0,X,Older,Dual,0
95,ladder,OBJECT,ladder,60,nonswitch,0,X,Older,Dual,0
12,present,OBJECT,present,61,switch,0,X,Younger,Dual,0
19,present,OBJECT,present,61,switch,0,X,Younger,Dual,0
95,coat,ACTION,wear,61,switch,0,X,Older,Dual,0
95,eye,ACTION,see,62,nonswitch,0,X,Older,Dual,0
14,broom,ACTION,sweep,63,nonswitch,0,X,Younger,Dual,0
16,toy,ACTION,play,63,nonswitch,0,X,Younger,Dual,0
45,toy,ACTION,play,63,nonswitch,0,X,Younger,Dual,0
95,broom,ACTION,sweep,63,nonswitch,0,X,Older,Dual,0
2,brain,ACTION,think,64,nonswitch,0,X,Younger,Dual,0
89,ladder,ACTION,climb,64,nonswitch,0,X,Younger,Dual,0
95,brain,ACTION,think,64,nonswitch,0,X,Older,Dual,0
5,candle,OBJECT,candle,65,switch,0,X,Younger,Dual,0
54,candle,OBJECT,candle,65,switch,0,X,Older,Dual,0
95,toy,OBJECT,toy,65,switch,0,X,Older,Dual,0
2,teeth,ACTION,brush,66,switch,0,X,Younger,Dual,0
5,suitcase,ACTION,pack,66,switch,0,X,Younger,Dual,0
31,teeth,ACTION,brush,66,switch,0,X,Older,Dual,0
34,suitcase,ACTION,pack,66,switch,0,X,Older,Dual,0
95,teeth,ACTION,brush,66,switch,0,X,Older,Dual,0
5,soap,ACTION,wash,67,nonswitch,0,X,Younger,Dual,0
29,soap,ACTION,wash,67,nonswitch,0,X,Older,Dual,0
31,present,ACTION,give,67,nonswitch,0,X,Older,Dual,0
34,soap,ACTION,wash,67,nonswitch,0,X,Older,Dual,0
42,soap,ACTION,wash,67,nonswitch,0,X,Older,Dual,0
46,present,ACTION,give,67,nonswitch,0,X,Older,Dual,0
95,present,ACTION,give,67,nonswitch,0,X,Older,Dual,0
2,brain,ACTION,think,68,nonswitch,0,X,Younger,Dual,0
95,brain,ACTION,think,68,nonswitch,0,X,Older,Dual,0
18,broom,OBJECT,broom,69,switch,0,X,Younger,Dual,0
95,broom,OBJECT,broom,69,switch,0,X,Older,Dual,0
