participant,rt,accuracy,item,task,control,AgeGroup
9,1470.1,1,sunflower,Colour,cong,Younger
9,1406.2,1,gin,Colour,cong,Younger
9,1871.1,0,grass,Colour,cong,Younger
9,1672.1,1,window,Size,cong,Younger
9,2536.9,1,pen,Size,cong,Younger
9,1605.8,1,mop,Size,cong,Younger
9,1388.8,1,snow,Colour,cong,Younger
9,2004.9,1,butter,Colour,cong,Younger
9,3005.9,1,oregano,Colour,cong,Younger
9,1139.1,0,fork,Size,cong,Younger
9,1672.9,1,doctor,Size,cong,Younger
9,1825.2,0,dancer,Size,cong,Younger
9,1473.3,0,rice,Colour,incon,Younger
9,2470.4,1,tar,Colour,incon,Younger
9,1972.5,0,trumpet,Colour,incon,Younger
9,2355.5,1,diary,Size,incon,Younger
9,1287.8,0,gun,Size,incon,Younger
9,1954.2,1,football,Size,incon,Younger
9,1455.5,1,cranberry,Colour,incon,Younger
9,1638.1,1,cloud,Colour,incon,Younger
9,1322.8,0,chalk,Colour,incon,Younger
9,1188.4,1,handbag,Size,incon,Younger
9,1037.3,0,cup,Size,incon,Younger
9,1488.4,1,tribe,Size,incon,Younger
9,1554.1,1,highlighter,Colour,incon,Younger
9,1240.5,0,paper,Colour,incon,Younger
9,2222.1,0,lion,Colour,incon,Younger
9,2254.8,0,pencil,Size,incon,Younger
9,1905.5,0,theatre,Size,incon,Younger
9,2089.3,0,lighter,Size,incon,Younger
9,2305.5,1,blackboard,Colour,incon,Younger
9,2086.9,0,bread,Colour,incon,Younger
9,2171.9,1,dove,Colour,incon,Younger
9,1272.3,0,stool,Size,incon,Younger
9,1623.4,0,chair,Size,incon,Younger
9,2155,1,box,Size,incon,Younger
10,1687.7,1,ham,Colour,cong,Younger
10,7354.7,1,blood,Colour,cong,Younger
10,2653.7,1,broccoli,Colour,cong,Younger
10,2022.2,1,hammer,Size,cong,Younger
10,1388.8,1,orange,Size,cong,Younger
10,2487.8,1,mouth,Size,cong,Younger
10,2285.4,1,coffee,Colour,cong,Younger
10,2185.8,1,ketchup,Colour,cong,Younger
10,2206.3,1,rhino,Colour,cong,Younger
10,1856.1,1,wasp,Size,cong,Younger
10,1905.6,1,goose,Size,cong,Younger
10,1805.8,1,donkey,Size,cong,Younger
10,2204.9,1,sunflower,Colour,cong,Younger
10,3268.9,1,gin,Colour,cong,Younger
10,2855.1,1,grass,Colour,cong,Younger
10,3054.6,1,window,Size,cong,Younger
