"","participant","Item","Rule","Response","Trial","TrialType","accuracy","rt","Agegroup","Context","accuracy01","Rule_coded","Agegroup_coded","rawrt","condition"
"2300",3,"soap","OBJECT","soap",7,"SingleNaming",1,6.7895346475947,"Younger","Single",1,-0.5,-0.5,888.5,"3SingleNamingOBJECT"
"2582",3,"eye","OBJECT","eye",8,"SingleNaming",1,6.97307474510278,"Younger","Single",1,-0.5,-0.5,1067.5,"3SingleNamingOBJECT"
"2854",3,"present","OBJECT","present",9,"SingleNaming",1,7.19638690046951,"Younger","Single",1,-0.5,-0.5,1334.6,"3SingleNamingOBJECT"
"3111",3,"trophy","OBJECT","trophy",10,"SingleNaming",1,6.89537900791408,"Younger","Single",1,-0.5,-0.5,987.7,"3SingleNamingOBJECT"
"3373",3,"teeth","OBJECT","teeth",11,"SingleNaming",1,7.20325670048605,"Younger","Single",1,-0.5,-0.5,1343.8,"3SingleNamingOBJECT"
"3641",3,"pen","OBJECT","pen",12,"SingleNaming",1,6.91204606039929,"Younger","Single",1,-0.5,-0.5,1004.3,"3SingleNamingOBJECT"
"3911",3,"toy","OBJECT","toy",13,"SingleNaming",1,6.82567716794653,"Younger","Single",1,-0.5,-0.5,921.2,"3SingleNamingOBJECT"
"4193",3,"knife","OBJECT","knife",14,"SingleNaming",1,7.20049951702618,"Younger","Single",1,-0.5,-0.5,1340.1,"3SingleNamingOBJECT"
"4455",3,"cup","OBJECT","cup",15,"SingleNaming",1,6.86160662295616,"Younger","Single",1,-0.5,-0.5,954.9,"3SingleNamingOBJECT"
"4702",3,"horse","OBJECT","horse",16,"SingleNaming",1,7.32620242131347,"Younger","Single",1,-0.5,-0.5,1519.6,"3SingleNamingOBJECT"
"5256",3,"brain","OBJECT","brain",18,"SingleNaming",1,6.62579016685959,"Younger","Single",1,-0.5,-0.5,754.3,"3SingleNamingOBJECT"
"5535",3,"strawberry","OBJECT","strawberry",19,"SingleNaming",1,6.45315244631242,"Younger","Single",1,-0.5,-0.5,634.7,"3SingleNamingOBJECT"
"5809",3,"cake","OBJECT","cake",20,"SingleNaming",1,6.74311645704049,"Younger","Single",1,-0.5,-0.5,848.2,"3SingleNamingOBJECT"
"6073",3,"knife","OBJECT","knife",21,"SingleNaming",1,7.2258453076053,"Younger","Single",1,-0.5,-0.5,1374.5,"3SingleNamingOBJECT"
"6354",3,"present","OBJECT","present",22,"SingleNaming",1,7.13473147631652,"Younger","Single",1,-0.5,-0.5,1254.8,"3SingleNamingOBJECT"
"6626",3,"horse","OBJECT","horse",23,"SingleNaming",1,6.81377421551124,"Younger","Single",1,-0.5,-0.5,910.3,"3SingleNamingOBJECT"
"6907",3,"teeth","OBJECT","teeth",24,"SingleNaming",1,7.38000638076835,"Younger","Single",1,-0.5,-0.5,1603.6,"3SingleNamingOBJECT"
"7191",3,"newspaper","OBJECT","newspaper",25,"SingleNaming",1,7.14053227926459,"Younger","Single",1,-0.5,-0.5,1262.1,"3SingleNamingOBJECT"
